,MIC
0,0.5
14,1.0
44,1.0
52,0.06
56,0.25
59,1.0
72,1.0
82,1.0
113,0.5
118,0.5
121,0.03
168,0.5
216,1.0
223,1.0
228,0.25
271,0.25
274,1.0
293,0.5
308,0.06
329,1.0
394,0.25
398,1.0
420,1.0
451,1.0
472,0.5
475,1.0
487,0.5
506,0.5
522,0.25
525,0.5
529,1.0
556,1.0
561,0.5
576,0.5
621,1.0
624,1.0
628,2.0
687,1.0
699,0.5
720,0.25
727,0.5
768,0.5
780,2.0
801,0.25
844,0.25
851,0.5
871,1.0
884,1.0
911,1.0
929,1.0
948,0.5
969,0.5
997,0.5
1034,0.06
1063,0.5
1074,0.5
1086,1.0
1113,1.0
1117,0.5
1158,1.0
1167,1.0
1168,1.0
1200,0.5
1211,1.0
1228,0.5
1230,0.25
1232,1.0
1235,1.0
1262,1.0
1350,0.5
1355,4.0
1376,0.5
1388,0.25
1397,0.5
1436,1.0
1458,0.5
1469,4.0
1511,0.5
1520,0.25
1541,0.25
1546,0.25
1617,0.5
1637,0.5
1689,0.5
1714,1.0
1722,0.5
1841,0.5
1852,0.5
1884,0.25
1886,0.25
1928,0.5
1945,0.5
1951,0.5
1961,0.5
1971,1.0
2038,0.5
2044,0.25
2080,0.06
2083,0.5
2090,0.25
2105,1.0
2144,1.0
2178,8.0
2199,1.0
2221,0.12
2244,1.0
2260,0.5
2270,0.5
2288,1.0
2300,0.5
2322,1.0
2325,0.5
2350,1.0
2353,1.0
2378,0.25
2380,1.0
2383,0.5
2411,1.0
2414,0.5
2440,0.5
2500,0.25
2526,0.5
2527,0.25
2536,0.5
2562,0.5
2567,0.5
2579,0.5
2592,0.5
2610,0.25
2621,0.12
2635,0.25
2677,0.25
2730,0.5
2738,0.5
2750,0.5
2758,0.5
2773,1.0
2777,0.5
2788,0.25
2790,1.0
2793,1.0
2813,1.0
2841,1.0
2843,0.25
2861,1.0
2869,0.5
2891,0.5
2908,0.5
2918,0.5
2925,0.5
2964,0.25
3026,1.0
3038,0.5
3051,1.0
3061,0.5
3117,0.125
3177,0.5
3189,0.5
3219,0.5
3241,0.5
3266,1.0
3282,0.5
3286,0.25
3294,1.0
3335,0.5
3375,0.5
3382,2.0
3386,0.25
3394,0.5
3395,0.5
3404,1.0
3410,1.0
3415,0.5
3418,0.5
3444,0.06
3449,0.5
3475,0.5
3499,0.03
3512,0.125
3515,1.0
3546,1.0
3562,0.125
3564,1.0
3627,0.5
3655,0.5
3665,0.25
3696,0.5
3735,0.12
3765,0.5
3766,0.5
3803,0.5
3811,1.0
3848,0.5
3858,0.5
3919,0.5
3962,0.5
3965,0.5
3977,0.5
3979,0.25
3983,0.5
3993,1.0
3998,1.0
4013,0.5
4017,0.25
4022,0.5
4031,0.25
4050,0.5
4055,0.25
4114,0.25
4170,1.0
4183,0.5
4198,0.5
4207,0.5
4215,1.0
4226,0.5
4262,0.5
4282,0.5
4316,0.25
4335,2.0
4337,0.5
4365,0.5
4382,0.5
4395,0.5
4401,0.5
4435,0.25
4450,0.5
4475,0.25
4482,0.5
4515,0.5
4541,0.5
4576,0.5
4606,0.5
4610,0.06
4640,0.5
4652,1.0
4660,1.0
4691,0.25
4718,0.5
4754,0.5
4790,0.5
4799,1.0
4801,0.25
4805,0.06
4814,1.0
4872,0.25
4873,1.0
4893,1.0
4896,0.25
4897,0.125
4935,0.5
4937,1.0
4938,1.0
4952,0.25
4958,0.25
4966,0.5
4985,1.0
4996,1.0
5018,0.5
5020,0.5
5023,0.5
5025,0.5
5064,0.5
5068,0.5
5077,1.0
5084,0.5
5102,0.5
5200,0.5
5246,1.0
5248,0.5
5265,1.0
5302,0.5
5346,0.25
5381,0.5
5398,0.06
5400,1.0
5416,0.5
5420,0.5
5434,0.5
5435,1.0
5440,0.25
5465,0.5
5483,0.5
5494,0.06
5517,0.5
5545,0.25
5551,0.5
5558,0.25
5561,0.5
5586,0.25
5636,0.5
5720,1.0
5725,0.5
5747,1.0
5772,0.5
5785,0.25
5813,0.25
5819,0.5
5826,0.125
5855,1.0
5856,0.5
5863,1.0
5913,0.5
5918,0.5
5958,0.25
5983,1.0
5998,0.5
6021,0.5
6023,0.5
6025,0.12
6026,0.25
6040,0.5
6044,1.0
6048,0.5
6057,1.0
6071,1.0
6084,0.25
6108,0.5
6122,0.5
6128,0.5
6130,0.25
6193,2.0
6208,0.5
6212,0.5
6220,0.5
6309,0.5
6345,2.0
6352,1.0
6366,0.06
6372,1.0
6375,0.5
6388,1.0
6395,0.5
6400,1.0
6404,1.0
6443,0.5
6466,0.5
6490,1.0
6545,1.0
6552,0.5
6591,0.25
6613,1.0
6630,1.0
6632,0.25
6656,1.0
6658,0.125
6661,0.5
6664,0.5
6683,0.5
6692,0.5
6701,1.0
6729,0.25
6744,0.5
6749,1.0
6755,0.25
6782,1.0
6825,0.5
6826,1.0
6832,1.0
6834,0.5
6880,1.0
6891,2.0
6902,1.0
6903,1.0
6904,0.25
6928,0.25
6974,0.5
7010,0.5
7011,1.0
7045,0.5
7054,0.25
7055,0.5
7065,0.5
7067,0.5
7089,1.0
7112,1.0
7163,1.0
7170,0.125
7174,1.0
7180,1.0
7218,0.25
7226,0.5
7230,0.25
7233,0.25
7235,1.0
7241,0.25
7248,2.0
7283,1.0
7319,0.5
7329,1.0
7341,1.0
7342,0.5
7371,0.25
7397,0.25
7406,1.0
