,MIC
1,0.25
2,0.25
3,0.5
4,0.5
5,0.25
6,0.5
7,0.5
8,0.5
9,0.5
10,0.25
11,0.5
12,0.25
13,0.12
15,0.5
16,1.0
17,0.125
18,0.5
19,0.125
20,0.5
21,0.25
22,0.125
23,0.25
24,0.5
25,0.5
26,0.25
27,0.25
28,0.5
29,0.5
30,0.5
31,0.5
32,0.5
33,1.0
34,0.25
35,1.0
36,0.12
37,0.06
38,0.5
39,10.0
40,0.25
41,0.25
42,0.125
43,0.25
45,1.0
46,0.5
47,0.5
48,0.5
49,1.0
50,1.0
51,0.06
53,0.12
54,0.06
55,0.12
57,0.25
58,0.5
60,0.12
61,0.125
62,1.0
63,0.5
64,0.12
65,0.5
66,0.5
67,0.25
68,0.25
69,0.12
70,0.5
71,0.12
73,0.12
74,0.5
75,0.25
76,0.5
77,0.25
78,0.25
79,0.25
80,1.0
81,0.25
83,0.25
84,0.5
85,0.5
86,0.12
87,0.06
88,0.25
89,0.5
90,0.12
91,0.5
92,0.5
93,0.25
94,0.12
95,0.25
96,0.25
97,0.5
98,0.5
99,0.25
100,0.5
101,0.12
102,2.0
103,0.5
104,2.0
105,0.5
106,0.5
107,0.5
108,0.06
109,0.5
110,0.25
111,0.5
112,0.5
114,0.25
115,0.25
116,0.25
117,0.125
119,0.5
120,0.25
122,0.5
123,0.12
124,0.12
125,0.5
126,0.5
127,0.5
128,0.5
129,0.06
130,0.5
131,0.5
132,0.5
133,0.25
134,0.5
135,0.5
136,0.12
137,0.12
138,0.5
139,0.5
140,0.25
141,0.5
142,0.25
143,0.25
144,0.5
145,0.25
146,0.25
147,0.5
148,0.25
149,0.5
150,0.25
151,0.25
152,0.25
153,0.25
154,0.5
155,0.25
156,0.25
157,0.25
158,0.25
159,0.5
160,0.5
161,0.5
162,2.0
163,0.5
164,10.0
165,0.5
166,0.5
167,0.25
169,0.25
170,0.125
171,0.5
172,0.5
173,0.12
174,0.5
175,0.125
176,0.5
177,0.5
178,0.5
179,0.12
180,0.5
181,0.25
182,1.0
183,0.25
184,0.25
185,0.12
186,0.5
187,0.5
188,0.5
189,0.5
190,1.0
191,0.25
192,0.5
193,0.5
194,0.25
195,0.5
196,0.5
197,1.0
198,0.25
199,0.125
200,0.5
201,0.5
202,0.5
203,0.25
204,0.25
205,0.25
206,0.25
207,0.25
208,0.5
209,0.25
210,0.25
211,0.5
212,1.0
213,2.0
214,0.5
215,0.25
217,0.25
218,0.25
219,0.5
220,0.25
221,0.25
222,0.25
224,0.25
225,0.5
226,0.5
227,0.06
229,0.5
230,0.5
231,0.12
232,0.25
233,0.06
234,0.5
235,0.25
236,0.5
237,0.25
238,0.5
239,0.12
240,0.25
241,0.5
242,0.5
243,0.06
244,1.0
245,0.12
246,0.5
247,0.5
248,0.5
249,0.5
