Genome ID,NCBI Taxon ID,Species,BioSample Accession,Contigs,Size,MIC
1773.31494,1773,Mycobacterium tuberculosis,SAMEA1101448,170,4272485,0.25
1773.31496,1773,Mycobacterium tuberculosis,SAMEA1101450,126,4324029,0.12
1773.31498,1773,Mycobacterium tuberculosis,SAMEA1101451,124,4297253,0.12
1773.31499,1773,Mycobacterium tuberculosis,SAMEA1101453,147,4263971,0.25
1773.31501,1773,Mycobacterium tuberculosis,SAMEA1101456,199,4254435,0.25
1773.31503,1773,Mycobacterium tuberculosis,SAMEA1101499,153,4315165,0.50
1773.31495,1773,Mycobacterium tuberculosis,SAMEA1101500,164,4288104,0.25
1773.31505,1773,Mycobacterium tuberculosis,SAMEA1101501,163,4303584,0.50
1773.31504,1773,Mycobacterium tuberculosis,SAMEA1101502,140,4298202,0.25
1773.31507,1773,Mycobacterium tuberculosis,SAMEA1101504,143,4321321,0.50
1773.31508,1773,Mycobacterium tuberculosis,SAMEA1101505,121,4329865,0.25
1773.31506,1773,Mycobacterium tuberculosis,SAMEA1101508,157,4316880,0.50
1773.31509,1773,Mycobacterium tuberculosis,SAMEA1101511,106,4332129,0.50
1773.31511,1773,Mycobacterium tuberculosis,SAMEA1101513,161,4314143,0.25
1773.31515,1773,Mycobacterium tuberculosis,SAMEA1101515,175,4261550,0.25
1773.31514,1773,Mycobacterium tuberculosis,SAMEA1101516,129,4156602,0.25
1773.43323,1773,Mycobacterium tuberculosis,SAMEA1101517,140,4303478,0.25
1773.31516,1773,Mycobacterium tuberculosis,SAMEA1101519,156,4313174,0.50
1773.31518,1773,Mycobacterium tuberculosis,SAMEA1101520,124,4315368,0.25
1773.31519,1773,Mycobacterium tuberculosis,SAMEA1101526,184,4312450,0.25
1773.31521,1773,Mycobacterium tuberculosis,SAMEA1101528,123,4316984,0.06
1773.31520,1773,Mycobacterium tuberculosis,SAMEA1101530,116,4333615,0.25
1773.31525,1773,Mycobacterium tuberculosis,SAMEA1101531,175,4273022,0.25
1773.31524,1773,Mycobacterium tuberculosis,SAMEA1101538,129,4294392,0.25
1773.31526,1773,Mycobacterium tuberculosis,SAMEA1101542,173,4292846,0.12
1773.31522,1773,Mycobacterium tuberculosis,SAMEA1101548,135,4311548,0.06
1773.31531,1773,Mycobacterium tuberculosis,SAMEA1101549,151,4294389,0.25
1773.31528,1773,Mycobacterium tuberculosis,SAMEA1101550,116,4317013,0.25
1773.31530,1773,Mycobacterium tuberculosis,SAMEA1101552,151,4305117,0.25
1773.31535,1773,Mycobacterium tuberculosis,SAMEA1101579,163,4297743,0.25
1773.31539,1773,Mycobacterium tuberculosis,SAMEA1101589,129,4326812,0.50
1773.31538,1773,Mycobacterium tuberculosis,SAMEA1101590,139,4293069,0.25
1773.31536,1773,Mycobacterium tuberculosis,SAMEA1101591,155,4284371,0.50
1773.31537,1773,Mycobacterium tuberculosis,SAMEA1101592,125,4323878,0.25
1773.31541,1773,Mycobacterium tuberculosis,SAMEA1101593,162,4303784,0.50
1773.31546,1773,Mycobacterium tuberculosis,SAMEA1101597,137,4307915,0.50
1773.31545,1773,Mycobacterium tuberculosis,SAMEA1101598,141,4272926,0.50
1773.31544,1773,Mycobacterium tuberculosis,SAMEA1101600,128,4326021,0.50
1773.31548,1773,Mycobacterium tuberculosis,SAMEA1101601,124,4315222,0.50
1773.31547,1773,Mycobacterium tuberculosis,SAMEA1101603,131,4311736,0.25
1773.31550,1773,Mycobacterium tuberculosis,SAMEA1101604,150,4309849,0.25
1773.31551,1773,Mycobacterium tuberculosis,SAMEA1101606,131,4297157,0.25
