Genome ID,NCBI Taxon ID,Species,BioSample Accession,Contigs,Size,MIC,in_downloads,calc_R_S
1773.31494,1773.0,Mycobacterium tuberculosis,SAMEA1101448,170.0,4272485.0,0.25,True,S
1773.31496,1773.0,Mycobacterium tuberculosis,SAMEA1101450,126.0,4324029.0,0.12,True,S
1773.31498,1773.0,Mycobacterium tuberculosis,SAMEA1101451,124.0,4297253.0,0.12,True,S
1773.31499,1773.0,Mycobacterium tuberculosis,SAMEA1101453,147.0,4263971.0,0.25,True,S
1773.31501,1773.0,Mycobacterium tuberculosis,SAMEA1101456,199.0,4254435.0,0.25,True,S
1773.31503,1773.0,Mycobacterium tuberculosis,SAMEA1101499,153.0,4315165.0,0.5,True,S
1773.31495,1773.0,Mycobacterium tuberculosis,SAMEA1101500,164.0,4288104.0,0.25,True,S
1773.31505,1773.0,Mycobacterium tuberculosis,SAMEA1101501,163.0,4303584.0,0.5,True,S
1773.31504,1773.0,Mycobacterium tuberculosis,SAMEA1101502,140.0,4298202.0,0.25,True,S
1773.31507,1773.0,Mycobacterium tuberculosis,SAMEA1101504,143.0,4321321.0,0.5,True,S
1773.31508,1773.0,Mycobacterium tuberculosis,SAMEA1101505,121.0,4329865.0,0.25,True,S
1773.31506,1773.0,Mycobacterium tuberculosis,SAMEA1101508,157.0,4316880.0,0.5,True,S
1773.31509,1773.0,Mycobacterium tuberculosis,SAMEA1101511,106.0,4332129.0,0.5,True,S
1773.31511,1773.0,Mycobacterium tuberculosis,SAMEA1101513,161.0,4314143.0,0.25,True,S
1773.31515,1773.0,Mycobacterium tuberculosis,SAMEA1101515,175.0,4261550.0,0.25,True,S
1773.43323,1773.0,Mycobacterium tuberculosis,SAMEA1101517,140.0,4303478.0,0.25,True,S
1773.31516,1773.0,Mycobacterium tuberculosis,SAMEA1101519,156.0,4313174.0,0.5,True,S
1773.31518,1773.0,Mycobacterium tuberculosis,SAMEA1101520,124.0,4315368.0,0.25,True,S
1773.31519,1773.0,Mycobacterium tuberculosis,SAMEA1101526,184.0,4312450.0,0.25,True,S
1773.31521,1773.0,Mycobacterium tuberculosis,SAMEA1101528,123.0,4316984.0,0.06,True,S
1773.3152,1773.0,Mycobacterium tuberculosis,SAMEA1101530,116.0,4333615.0,0.25,True,S
1773.31525,1773.0,Mycobacterium tuberculosis,SAMEA1101531,175.0,4273022.0,0.25,True,S
1773.31524,1773.0,Mycobacterium tuberculosis,SAMEA1101538,129.0,4294392.0,0.25,True,S
1773.31526,1773.0,Mycobacterium tuberculosis,SAMEA1101542,173.0,4292846.0,0.12,True,S
1773.31522,1773.0,Mycobacterium tuberculosis,SAMEA1101548,135.0,4311548.0,0.06,True,S
1773.31531,1773.0,Mycobacterium tuberculosis,SAMEA1101549,151.0,4294389.0,0.25,True,S
1773.31528,1773.0,Mycobacterium tuberculosis,SAMEA1101550,116.0,4317013.0,0.25,True,S
1773.3153,1773.0,Mycobacterium tuberculosis,SAMEA1101552,151.0,4305117.0,0.25,True,S
1773.31535,1773.0,Mycobacterium tuberculosis,SAMEA1101579,163.0,4297743.0,0.25,True,S
1773.31539,1773.0,Mycobacterium tuberculosis,SAMEA1101589,129.0,4326812.0,0.5,True,S
1773.31538,1773.0,Mycobacterium tuberculosis,SAMEA1101590,139.0,4293069.0,0.25,True,S
1773.31536,1773.0,Mycobacterium tuberculosis,SAMEA1101591,155.0,4284371.0,0.5,True,S
1773.31537,1773.0,Mycobacterium tuberculosis,SAMEA1101592,125.0,4323878.0,0.25,True,S
1773.31541,1773.0,Mycobacterium tuberculosis,SAMEA1101593,162.0,4303784.0,0.5,True,S
1773.31546,1773.0,Mycobacterium tuberculosis,SAMEA1101597,137.0,4307915.0,0.5,True,S
1773.31545,1773.0,Mycobacterium tuberculosis,SAMEA1101598,141.0,4272926.0,0.5,True,S
1773.31544,1773.0,Mycobacterium tuberculosis,SAMEA1101600,128.0,4326021.0,0.5,True,S
1773.31548,1773.0,Mycobacterium tuberculosis,SAMEA1101601,124.0,4315222.0,0.5,True,S
1773.31547,1773.0,Mycobacterium tuberculosis,SAMEA1101603,131.0,4311736.0,0.25,True,S
1773.3155,1773.0,Mycobacterium tuberculosis,SAMEA1101604,150.0,4309849.0,0.25,True,S
1773.31551,1773.0,Mycobacterium tuberculosis,SAMEA1101606,131.0,4297157.0,0.25,True,S
1773.31555,1773.0,Mycobacterium tuberculosis,SAMEA1101616,139.0,4325519.0,0.5,True,S
1773.31556,1773.0,Mycobacterium tuberculosis,SAMEA1101617,142.0,4308853.0,0.5,True,S
1773.31557,1773.0,Mycobacterium tuberculosis,SAMEA1101619,135.0,4289886.0,0.25,True,S
1773.31559,1773.0,Mycobacterium tuberculosis,SAMEA1101623,122.0,4291261.0,0.12,True,S
1773.3156,1773.0,Mycobacterium tuberculosis,SAMEA1101625,125.0,4313829.0,0.25,True,S
1773.31563,1773.0,Mycobacterium tuberculosis,SAMEA1101627,116.0,4322689.0,0.12,True,S
1773.31566,1773.0,Mycobacterium tuberculosis,SAMEA1101630,122.0,4325388.0,0.25,True,S
1773.31561,1773.0,Mycobacterium tuberculosis,SAMEA1101632,145.0,4274854.0,0.25,True,S
1773.31562,1773.0,Mycobacterium tuberculosis,SAMEA1101634,121.0,4337544.0,0.25,True,S
1773.43316,1773.0,Mycobacterium tuberculosis,SAMEA1101659,186.0,4301314.0,0.12,True,S
1773.31617,1773.0,Mycobacterium tuberculosis,SAMEA1101665,133.0,4315632.0,0.25,True,S
1773.31571,1773.0,Mycobacterium tuberculosis,SAMEA1101672,146.0,4320272.0,0.5,True,S
1773.31574,1773.0,Mycobacterium tuberculosis,SAMEA1101673,150.0,4301100.0,0.25,True,S
1773.31572,1773.0,Mycobacterium tuberculosis,SAMEA1101674,145.0,4324953.0,0.25,True,S
1773.31575,1773.0,Mycobacterium tuberculosis,SAMEA1101675,161.0,4296408.0,0.25,True,S
1773.31573,1773.0,Mycobacterium tuberculosis,SAMEA1101678,136.0,4335299.0,0.5,True,S
1773.43319,1773.0,Mycobacterium tuberculosis,SAMEA1101681,146.0,4238735.0,0.25,True,S
1773.31578,1773.0,Mycobacterium tuberculosis,SAMEA1101685,149.0,4288792.0,0.5,True,S
1773.31579,1773.0,Mycobacterium tuberculosis,SAMEA1101686,125.0,4332044.0,0.5,True,S
1773.31581,1773.0,Mycobacterium tuberculosis,SAMEA1101689,151.0,4294597.0,0.5,True,S
1773.31582,1773.0,Mycobacterium tuberculosis,SAMEA1101691,132.0,4315578.0,0.5,True,S
1773.31588,1773.0,Mycobacterium tuberculosis,SAMEA1101692,162.0,4266951.0,0.5,True,S
1773.31587,1773.0,Mycobacterium tuberculosis,SAMEA1101693,198.0,4252058.0,0.25,True,S
1773.31585,1773.0,Mycobacterium tuberculosis,SAMEA1101695,153.0,4292916.0,0.12,True,S
1773.31584,1773.0,Mycobacterium tuberculosis,SAMEA1101696,164.0,4289074.0,0.5,True,S
1773.31589,1773.0,Mycobacterium tuberculosis,SAMEA1101697,118.0,4263967.0,0.25,True,S
1773.31592,1773.0,Mycobacterium tuberculosis,SAMEA1101701,136.0,4297261.0,0.25,True,S
1773.31593,1773.0,Mycobacterium tuberculosis,SAMEA1101702,200.0,4251044.0,0.5,True,S
1773.31594,1773.0,Mycobacterium tuberculosis,SAMEA1101705,188.0,4293330.0,0.25,True,S
1773.43321,1773.0,Mycobacterium tuberculosis,SAMEA1101707,157.0,4285339.0,0.25,True,S
1773.43318,1773.0,Mycobacterium tuberculosis,SAMEA1101708,163.0,4279348.0,0.25,True,S
1773.31597,1773.0,Mycobacterium tuberculosis,SAMEA1101712,128.0,4318746.0,1.0,True,S
1773.31599,1773.0,Mycobacterium tuberculosis,SAMEA1101713,161.0,4308100.0,0.25,True,S
1773.31604,1773.0,Mycobacterium tuberculosis,SAMEA1101718,188.0,4210779.0,0.12,True,S
1773.31603,1773.0,Mycobacterium tuberculosis,SAMEA1101723,163.0,4314283.0,0.5,True,S
1773.31606,1773.0,Mycobacterium tuberculosis,SAMEA1101726,149.0,4314956.0,0.12,True,S
1773.31607,1773.0,Mycobacterium tuberculosis,SAMEA1101729,162.0,4292740.0,0.25,True,S
1773.31609,1773.0,Mycobacterium tuberculosis,SAMEA1101732,143.0,4316059.0,0.5,True,S
1773.31611,1773.0,Mycobacterium tuberculosis,SAMEA1101733,145.0,4327822.0,0.5,True,S
1773.31613,1773.0,Mycobacterium tuberculosis,SAMEA1101736,148.0,4311264.0,0.12,True,S
1773.31616,1773.0,Mycobacterium tuberculosis,SAMEA1101742,151.0,4316265.0,0.5,True,S
1773.31614,1773.0,Mycobacterium tuberculosis,SAMEA1101743,157.0,4330995.0,0.12,True,S
1773.31618,1773.0,Mycobacterium tuberculosis,SAMEA1101746,144.0,4340131.0,2.0,True,R
1773.31621,1773.0,Mycobacterium tuberculosis,SAMEA1101749,147.0,4313381.0,0.12,True,S
1773.31623,1773.0,Mycobacterium tuberculosis,SAMEA1101752,127.0,4340269.0,0.25,True,S
1773.31624,1773.0,Mycobacterium tuberculosis,SAMEA1101754,145.0,4324791.0,0.25,True,S
1773.31673,1773.0,Mycobacterium tuberculosis,SAMEA1101755,187.0,4265689.0,0.12,True,S
1773.31625,1773.0,Mycobacterium tuberculosis,SAMEA1101756,181.0,4302609.0,0.25,True,S
1773.31622,1773.0,Mycobacterium tuberculosis,SAMEA1101760,169.0,4299564.0,0.06,True,S
1773.31633,1773.0,Mycobacterium tuberculosis,SAMEA1101768,189.0,4285564.0,0.12,True,S
1773.31632,1773.0,Mycobacterium tuberculosis,SAMEA1101771,167.0,4284259.0,0.12,True,S
1773.31631,1773.0,Mycobacterium tuberculosis,SAMEA1101772,139.0,4319711.0,0.5,True,S
1773.31636,1773.0,Mycobacterium tuberculosis,SAMEA1101773,164.0,4294279.0,0.25,True,S
1773.31639,1773.0,Mycobacterium tuberculosis,SAMEA1101776,170.0,4294025.0,0.06,True,S
