BioSample Accession,BAKTA,size,contigs_orig,MIC
SAMEA7525314,atb.bakta.r0.2.batch.342.tar.xz,4331464,153,0.5
SAMEA7563280,atb.bakta.r0.2.batch.346.tar.xz,4298530,136,0.25
SAMEA7562884,atb.bakta.r0.2.batch.346.tar.xz,4338561,110,0.25
SAMEA7526196,atb.bakta.r0.2.batch.342.tar.xz,4381306,107,0.25
SAMEA8741163,atb.bakta.r0.2.batch.347.tar.xz,4311592,151,0.5
SAMEA7561621,atb.bakta.r0.2.batch.346.tar.xz,4306612,172,0.5
SAMN05918706,,4394473,38,0.25
SAMEA7562615,atb.bakta.r0.2.batch.346.tar.xz,4286084,105,0.5
SAMEA8719014,atb.bakta.r0.2.batch.347.tar.xz,4173255,254,0.5
SAMEA7525649,atb.bakta.r0.2.batch.342.tar.xz,4343379,174,0.5
SAMEA7546821,atb.bakta.r0.2.batch.343.tar.xz,3848888,767,0.06
SAMEA7541853,atb.bakta.r0.2.batch.343.tar.xz,4329985,119,0.5
SAMEA7525206,atb.bakta.r0.2.batch.342.tar.xz,4344406,148,0.5
SAMN05916221,,4396999,7,0.25
SAMEA5570011,atb.bakta.r0.2.batch.340.tar.xz,4357093,86,0.5
SAMEA7555781,atb.bakta.r0.2.batch.345.tar.xz,4326100,93,0.25
SAMEA7555727,atb.bakta.r0.2.batch.345.tar.xz,4298180,104,0.12
SAMEA7526207,atb.bakta.r0.2.batch.342.tar.xz,4351168,91,1.0
SAMEA7526112,atb.bakta.r0.2.batch.342.tar.xz,4339269,133,0.12
SAMEA8742019,atb.bakta.r0.2.batch.347.tar.xz,4275575,141,0.5
SAMEA8719032,atb.bakta.r0.2.batch.347.tar.xz,4265183,129,1.0
SAMEA7525188,atb.bakta.r0.2.batch.342.tar.xz,4376343,118,0.125
SAMEA7541651,atb.bakta.r0.2.batch.343.tar.xz,4326298,106,0.5
SAMEA7526379,atb.bakta.r0.2.batch.342.tar.xz,4341569,103,0.125
SAMEA7563960,atb.bakta.r0.2.batch.346.tar.xz,4321155,108,0.5
SAMEA7541742,atb.bakta.r0.2.batch.343.tar.xz,4340739,95,0.25
SAMEA7525074,atb.bakta.r0.2.batch.342.tar.xz,4365448,99,0.5
SAMEA7526586,atb.bakta.r0.2.batch.342.tar.xz,4359093,77,0.125
SAMEA7563646,atb.bakta.r0.2.batch.346.tar.xz,4342749,105,0.25
SAMEA7543937,atb.bakta.r0.2.batch.343.tar.xz,4365756,71,0.5
SAMEA7563380,atb.bakta.r0.2.batch.346.tar.xz,4328858,142,0.5
SAMEA7555902,atb.bakta.r0.2.batch.345.tar.xz,4351756,105,0.25
SAMEA7564223,atb.bakta.r0.2.batch.346.tar.xz,4288655,155,0.25
SAMEA7560757,atb.bakta.r0.2.batch.346.tar.xz,4345472,100,0.5
SAMEA7543951,atb.bakta.r0.2.batch.343.tar.xz,4314832,129,0.5
SAMEA5569529,atb.bakta.r0.2.batch.340.tar.xz,4343599,111,0.5
SAMEA7544145,atb.bakta.r0.2.batch.343.tar.xz,4337281,110,0.5
SAMEA5569824,atb.bakta.r0.2.batch.340.tar.xz,4309217,113,0.5
SAMEA7526111,atb.bakta.r0.2.batch.342.tar.xz,4315599,133,0.25
SAMEA5569783,atb.bakta.r0.2.batch.340.tar.xz,4130353,403,0.5
SAMEA7547563,atb.bakta.r0.2.batch.344.tar.xz,3978167,612,0.5
SAMEA7524739,,4354050,83,0.5
SAMEA7544318,atb.bakta.r0.2.batch.343.tar.xz,4364372,63,1.0
SAMEA7545236,atb.bakta.r0.2.batch.343.tar.xz,4336346,121,0.25
SAMEA7526655,atb.bakta.r0.2.batch.342.tar.xz,4368459,103,1.0
SAMEA1102249,atb.bakta.r0.2.batch.334.tar.xz,4306364,115,0.12
SAMEA7526248,atb.bakta.r0.2.batch.342.tar.xz,4332219,103,0.06
SAMEA7545424,atb.bakta.r0.2.batch.343.tar.xz,4297570,117,0.5
SAMN05916358,,4381855,19,10.0
SAMEA7563098,atb.bakta.r0.2.batch.346.tar.xz,4344281,96,0.25
SAMEA3400995,atb.bakta.r0.2.batch.338.tar.xz,4320557,287,0.25
SAMEA7525175,atb.bakta.r0.2.batch.342.tar.xz,4371364,123,0.125
SAMEA7525988,atb.bakta.r0.2.batch.342.tar.xz,4367105,137,0.25
SAMEA7525550,atb.bakta.r0.2.batch.342.tar.xz,4358365,117,1.0
SAMEA5569827,,4283258,106,0.5
SAMEA7560790,atb.bakta.r0.2.batch.346.tar.xz,4342217,108,0.12
SAMEA7542196,atb.bakta.r0.2.batch.343.tar.xz,4339067,91,1.0
SAMEA7525727,atb.bakta.r0.2.batch.342.tar.xz,4307049,145,0.5
SAMEA8718583,atb.bakta.r0.2.batch.347.tar.xz,4305441,105,0.5
SAMEA7525440,atb.bakta.r0.2.batch.342.tar.xz,4307302,170,0.5
SAMEA7525680,atb.bakta.r0.2.batch.342.tar.xz,4379020,130,1.0
SAMEA7545588,atb.bakta.r0.2.batch.343.tar.xz,3622346,881,0.5
SAMEA8718619,atb.bakta.r0.2.batch.347.tar.xz,4329709,91,1.0
SAMEA104362145,atb.bakta.r0.2.batch.350.tar.xz,3941414,657,0.5
SAMEA7526102,atb.bakta.r0.2.batch.342.tar.xz,4345797,89,0.06
SAMEA7526451,atb.bakta.r0.2.batch.342.tar.xz,4317100,160,0.06
SAMEA7526118,atb.bakta.r0.2.batch.342.tar.xz,4367310,66,0.06
SAMEA104302776,atb.bakta.r0.2.batch.350.tar.xz,4259131,120,
SAMEA5569714,atb.bakta.r0.2.batch.340.tar.xz,3961529,624,0.25
SAMEA7526806,atb.bakta.r0.2.batch.342.tar.xz,4310329,136,0.5
SAMEA7544001,atb.bakta.r0.2.batch.343.tar.xz,9930475,196,0.5
SAMEA7562847,atb.bakta.r0.2.batch.346.tar.xz,4316003,150,0.12
SAMEA8718529,atb.bakta.r0.2.batch.347.tar.xz,4307793,116,0.06
SAMEA7546469,atb.bakta.r0.2.batch.343.tar.xz,4344513,87,0.12
SAMEA7562350,atb.bakta.r0.2.batch.346.tar.xz,4316674,125,0.25
SAMN05916411,,4403778,17,0.25
SAMEA7525887,atb.bakta.r0.2.batch.342.tar.xz,4327422,113,1.0
SAMEA7545921,atb.bakta.r0.2.batch.343.tar.xz,4308700,122,0.5
SAMEA7561852,atb.bakta.r0.2.batch.346.tar.xz,4276369,141,1.0
SAMEA7525034,atb.bakta.r0.2.batch.342.tar.xz,4365039,153,0.12
SAMEA7525320,atb.bakta.r0.2.batch.342.tar.xz,4346745,128,0.125
SAMEA7547465,atb.bakta.r0.2.batch.344.tar.xz,4334176,92,1.0
SAMEA104362308,atb.bakta.r0.2.batch.350.tar.xz,4337841,89,0.5
SAMEA7525480,atb.bakta.r0.2.batch.342.tar.xz,4293020,164,0.12
SAMEA7541475,atb.bakta.r0.2.batch.343.tar.xz,4335509,140,0.5
SAMEA7525849,atb.bakta.r0.2.batch.342.tar.xz,4326059,98,0.5
SAMEA7563355,atb.bakta.r0.2.batch.346.tar.xz,4334486,135,0.25
SAMEA7545513,atb.bakta.r0.2.batch.343.tar.xz,4360422,90,0.25
SAMEA7563155,atb.bakta.r0.2.batch.346.tar.xz,4307700,134,0.12
SAMEA7560999,atb.bakta.r0.2.batch.346.tar.xz,4298076,153,0.5
SAMEA7561520,atb.bakta.r0.2.batch.346.tar.xz,4291582,148,0.12
SAMEA7525137,atb.bakta.r0.2.batch.342.tar.xz,4358305,125,1.0
SAMEA7545353,atb.bakta.r0.2.batch.343.tar.xz,3764615,780,0.12
SAMEA7545403,atb.bakta.r0.2.batch.343.tar.xz,4269495,129,0.12
SAMEA7542353,atb.bakta.r0.2.batch.343.tar.xz,4335288,93,0.5
SAMEA7545976,atb.bakta.r0.2.batch.343.tar.xz,4339687,119,0.25
SAMEA104362403,atb.bakta.r0.2.batch.350.tar.xz,4286497,121,0.5
SAMEA7541798,atb.bakta.r0.2.batch.343.tar.xz,4357575,98,0.25
SAMN05915283,,4348559,4,0.25
SAMEA7542106,atb.bakta.r0.2.batch.343.tar.xz,4325083,106,0.25
SAMEA7545661,atb.bakta.r0.2.batch.343.tar.xz,4326451,101,1.0
SAMEA7564228,atb.bakta.r0.2.batch.346.tar.xz,4278632,135,0.25
SAMEA8742591,atb.bakta.r0.2.batch.347.tar.xz,4363451,81,1.0
SAMEA7544013,atb.bakta.r0.2.batch.343.tar.xz,4346405,87,0.25
SAMEA7545637,atb.bakta.r0.2.batch.343.tar.xz,4240181,170,0.5
SAMEA7526709,atb.bakta.r0.2.batch.342.tar.xz,4368020,86,0.5
SAMEA7525334,atb.bakta.r0.2.batch.342.tar.xz,4342030,115,0.12
SAMEA7525527,atb.bakta.r0.2.batch.342.tar.xz,4305604,127,0.06
SAMEA7555978,atb.bakta.r0.2.batch.345.tar.xz,4347891,104,0.25
SAMEA7563167,atb.bakta.r0.2.batch.346.tar.xz,4304196,137,1.0
SAMEA7544039,atb.bakta.r0.2.batch.343.tar.xz,4362244,66,0.5
SAMEA7525900,atb.bakta.r0.2.batch.342.tar.xz,4933299,34,1.0
SAMEA7563711,atb.bakta.r0.2.batch.346.tar.xz,4304007,116,0.12
SAMEA5569569,atb.bakta.r0.2.batch.340.tar.xz,4351079,74,0.5
SAMEA7541745,atb.bakta.r0.2.batch.343.tar.xz,4327123,107,0.5
SAMEA7562160,atb.bakta.r0.2.batch.346.tar.xz,4293016,167,1.0
SAMEA7562520,atb.bakta.r0.2.batch.346.tar.xz,4334275,128,0.25
SAMEA7564269,atb.bakta.r0.2.batch.346.tar.xz,4295675,127,0.12
SAMEA104362319,,4327963,108,0.25
SAMEA7546275,atb.bakta.r0.2.batch.343.tar.xz,4346440,101,0.25
SAMEA7560688,atb.bakta.r0.2.batch.346.tar.xz,4345042,97,0.25
SAMEA7525673,atb.bakta.r0.2.batch.342.tar.xz,4348949,124,0.5
SAMEA7525379,atb.bakta.r0.2.batch.342.tar.xz,4346941,126,0.5
SAMN05918630,,4400592,21,0.25
SAMEA7541431,atb.bakta.r0.2.batch.343.tar.xz,4331260,98,0.5
SAMEA7563424,atb.bakta.r0.2.batch.346.tar.xz,4335021,130,0.12
SAMEA7542051,atb.bakta.r0.2.batch.343.tar.xz,4341997,111,2.0
SAMEA7560835,atb.bakta.r0.2.batch.346.tar.xz,4361178,86,0.5
SAMEA7525865,atb.bakta.r0.2.batch.342.tar.xz,4381357,87,2.0
SAMEA7545654,atb.bakta.r0.2.batch.343.tar.xz,4314453,108,0.5
SAMEA8742173,atb.bakta.r0.2.batch.347.tar.xz,4297929,116,0.5
SAMEA7524997,atb.bakta.r0.2.batch.342.tar.xz,4340129,127,0.5
SAMEA7561157,atb.bakta.r0.2.batch.642_a.tar.xz,4350194,100,0.06
SAMEA7525940,atb.bakta.r0.2.batch.342.tar.xz,4345347,94,0.5
SAMEA7526673,atb.bakta.r0.2.batch.342.tar.xz,4329969,114,0.25
SAMEA104362311,atb.bakta.r0.2.batch.350.tar.xz,4328190,104,0.5
SAMEA7544243,atb.bakta.r0.2.batch.343.tar.xz,4337030,115,0.5
SAMEA8718877,atb.bakta.r0.2.batch.347.tar.xz,4334822,102,0.5
SAMEA8742411,atb.bakta.r0.2.batch.347.tar.xz,4343147,90,0.25
SAMEA7525198,atb.bakta.r0.2.batch.342.tar.xz,4323686,120,0.25
SAMEA7546730,atb.bakta.r0.2.batch.343.tar.xz,4304528,132,0.25
SAMEA7525196,atb.bakta.r0.2.batch.342.tar.xz,4326552,118,0.25
SAMEA7526058,atb.bakta.r0.2.batch.342.tar.xz,4348371,101,0.125
SAMEA8741979,atb.bakta.r0.2.batch.347.tar.xz,4338855,91,0.5
SAMEA7525836,atb.bakta.r0.2.batch.342.tar.xz,4358809,143,0.5
SAMN05918734,,4389654,28,0.25
SAMEA7526022,atb.bakta.r0.2.batch.342.tar.xz,4355128,113,0.03
SAMEA7545701,atb.bakta.r0.2.batch.343.tar.xz,4335402,106,0.5
SAMEA7562584,atb.bakta.r0.2.batch.346.tar.xz,4331477,126,0.12
SAMEA7561522,atb.bakta.r0.2.batch.346.tar.xz,4266847,131,0.12
SAMEA7526831,atb.bakta.r0.2.batch.342.tar.xz,4366049,91,0.5
SAMEA7525721,atb.bakta.r0.2.batch.342.tar.xz,4302680,134,0.5
SAMEA104362306,atb.bakta.r0.2.batch.350.tar.xz,4349208,98,0.5
SAMEA7541686,atb.bakta.r0.2.batch.343.tar.xz,4314646,109,0.5
SAMEA7560946,atb.bakta.r0.2.batch.346.tar.xz,4350643,85,0.06
SAMEA8718708,atb.bakta.r0.2.batch.347.tar.xz,4355771,80,0.5
SAMEA7541718,atb.bakta.r0.2.batch.343.tar.xz,4352190,79,2.0
SAMEA7524841,atb.bakta.r0.2.batch.342.tar.xz,4347381,97,0.5
SAMEA7525165,atb.bakta.r0.2.batch.342.tar.xz,4375756,122,0.5
SAMEA1102574,atb.bakta.r0.2.batch.638_c.tar.xz,4303524,138,0.25
SAMEA7546259,atb.bakta.r0.2.batch.343.tar.xz,4347002,136,0.5
SAMEA8718455,atb.bakta.r0.2.batch.347.tar.xz,4329555,121,0.5
SAMEA7526592,atb.bakta.r0.2.batch.342.tar.xz,4376030,93,0.12
SAMEA7544554,atb.bakta.r0.2.batch.343.tar.xz,4364635,76,0.12
SAMEA7526471,atb.bakta.r0.2.batch.342.tar.xz,4311340,123,0.5
SAMEA104362486,atb.bakta.r0.2.batch.350.tar.xz,4181108,294,0.5
SAMEA7560897,atb.bakta.r0.2.batch.346.tar.xz,4312510,134,0.25
SAMEA7541656,atb.bakta.r0.2.batch.343.tar.xz,4329029,100,0.5
SAMN05918675,,4399159,25,0.25
SAMEA7526372,atb.bakta.r0.2.batch.342.tar.xz,4379533,93,0.5
SAMEA7542247,atb.bakta.r0.2.batch.343.tar.xz,4339960,93,0.25
SAMEA7562116,atb.bakta.r0.2.batch.346.tar.xz,4304386,160,0.25
SAMEA7544294,atb.bakta.r0.2.batch.343.tar.xz,4336901,103,0.5
SAMN05918655,,4354016,15,0.25
SAMEA7561182,atb.bakta.r0.2.batch.642_c.tar.xz,4332184,109,0.25
SAMEA7544355,atb.bakta.r0.2.batch.343.tar.xz,4346908,95,0.5
SAMEA5569969,atb.bakta.r0.2.batch.340.tar.xz,4350164,96,0.25
SAMEA7546793,atb.bakta.r0.2.batch.343.tar.xz,4217662,250,0.25
SAMEA8718837,atb.bakta.r0.2.batch.347.tar.xz,4332773,121,0.5
SAMEA104362186,atb.bakta.r0.2.batch.350.tar.xz,4033224,561,0.5
SAMEA7525305,atb.bakta.r0.2.batch.342.tar.xz,4355340,134,0.25
SAMEA7563375,atb.bakta.r0.2.batch.346.tar.xz,4339818,131,0.25
SAMEA7526251,atb.bakta.r0.2.batch.342.tar.xz,4371827,78,0.25
SAMEA7563344,atb.bakta.r0.2.batch.346.tar.xz,4328861,130,0.25
SAMEA8718916,atb.bakta.r0.2.batch.347.tar.xz,4338517,97,0.5
SAMN05918687,,4372924,26,0.25
SAMEA7545745,atb.bakta.r0.2.batch.343.tar.xz,4048118,521,0.5
SAMEA7525776,atb.bakta.r0.2.batch.342.tar.xz,4349188,139,0.25
SAMEA7525202,atb.bakta.r0.2.batch.342.tar.xz,4317552,123,0.25
SAMEA7525048,atb.bakta.r0.2.batch.342.tar.xz,4347468,99,0.25
SAMEA1101499,atb.bakta.r0.2.batch.334.tar.xz,4315165,153,0.5
SAMEA7526237,atb.bakta.r0.2.batch.342.tar.xz,4371749,95,0.5
SAMEA8719177,atb.bakta.r0.2.batch.347.tar.xz,4319918,116,0.5
SAMEA8718432,atb.bakta.r0.2.batch.347.tar.xz,3317419,848,0.5
SAMN05916445,,4381577,9,2.0
SAMEA1101729,atb.bakta.r0.2.batch.334.tar.xz,4292740,162,0.25
SAMEA8742440,atb.bakta.r0.2.batch.347.tar.xz,4318147,90,0.5
SAMN05916263,,4381388,3,10.0
SAMEA7525753,atb.bakta.r0.2.batch.342.tar.xz,4296561,150,0.5
SAMEA104362248,atb.bakta.r0.2.batch.350.tar.xz,4323155,101,0.5
SAMEA5569759,,3767935,774,0.5
SAMEA7544588,atb.bakta.r0.2.batch.343.tar.xz,4379335,87,0.25
SAMEA8742325,atb.bakta.r0.2.batch.347.tar.xz,4342839,78,0.5
SAMN05916422,,4384510,6,0.25
SAMEA7525477,atb.bakta.r0.2.batch.342.tar.xz,4330305,167,0.125
SAMEA104362253,atb.bakta.r0.2.batch.350.tar.xz,4288357,95,0.5
SAMEA7543887,atb.bakta.r0.2.batch.343.tar.xz,4357226,75,0.5
SAMEA7526059,atb.bakta.r0.2.batch.342.tar.xz,4339981,123,0.12
SAMEA7526026,atb.bakta.r0.2.batch.342.tar.xz,4333993,121,0.5
SAMEA7526427,atb.bakta.r0.2.batch.342.tar.xz,4365886,89,0.125
SAMEA7546789,atb.bakta.r0.2.batch.343.tar.xz,4320112,108,0.5
SAMEA7525984,atb.bakta.r0.2.batch.342.tar.xz,4350855,116,0.5
SAMEA7525155,atb.bakta.r0.2.batch.342.tar.xz,4374576,129,0.5
SAMEA104362518,atb.bakta.r0.2.batch.350.tar.xz,4151583,357,0.25
SAMEA7561552,atb.bakta.r0.2.batch.642_c.tar.xz,4303174,173,0.12
SAMN05916325,,4378819,10,0.5
SAMEA1101516,atb.bakta.r0.2.batch.638_d.tar.xz,4156602,129,0.25
SAMN05918669,,4348527,17,0.25
SAMEA7544112,atb.bakta.r0.2.batch.343.tar.xz,4331805,94,1.0
SAMN05916453,,4405274,3,0.25
SAMN06010418,,4379835,8,0.25
SAMEA7563688,atb.bakta.r0.2.batch.346.tar.xz,4333327,128,0.12
SAMEA1101772,atb.bakta.r0.2.batch.334.tar.xz,4319711,139,0.5
SAMEA7525498,atb.bakta.r0.2.batch.342.tar.xz,4313139,132,0.5
SAMEA7560755,atb.bakta.r0.2.batch.346.tar.xz,4350980,94,0.5
SAMEA7525767,atb.bakta.r0.2.batch.342.tar.xz,4284250,162,0.5
SAMEA7526120,atb.bakta.r0.2.batch.342.tar.xz,4345477,141,1.0
SAMEA8718892,atb.bakta.r0.2.batch.347.tar.xz,4338972,93,0.25
SAMEA7526579,atb.bakta.r0.2.batch.342.tar.xz,4348198,110,0.5
SAMEA7542065,atb.bakta.r0.2.batch.343.tar.xz,4365807,87,0.5
SAMEA7524981,atb.bakta.r0.2.batch.342.tar.xz,4348981,102,0.25
SAMEA7525815,atb.bakta.r0.2.batch.342.tar.xz,4345790,92,0.5
SAMEA7547308,atb.bakta.r0.2.batch.344.tar.xz,4336238,98,0.5
SAMEA7541883,atb.bakta.r0.2.batch.343.tar.xz,4360437,88,1.0
